GEO.id,GEO.id2,GEO.display-label,HD01_S01,HD02_S01,HD01_S02,HD02_S02,HD01_S03,HD02_S03,HD01_S04,HD02_S04,HD01_S05,HD02_S05,HD01_S06,HD02_S06,HD01_S07,HD02_S07,HD01_S08,HD02_S08,HD01_S09,HD02_S09,HD01_S10,HD02_S10,HD01_S11,HD02_S11,HD01_S12,HD02_S12,HD01_S13,HD02_S13,HD01_S14,HD02_S14,HD01_S15,HD02_S15,HD01_S16,HD02_S16,HD01_S17,HD02_S17,HD01_S18,HD02_S18,HD01_S19,HD02_S19,HD01_S20,HD02_S20,HD01_S21,HD02_S21,HD01_S22,HD02_S22,HD01_S23,HD02_S23,HD01_S24,HD02_S24,HD01_S25,HD02_S25,HD01_S26,HD02_S26,HD01_S27,HD02_S27,HD01_S28,HD02_S28,HD01_S29,HD02_S29,HD01_S30,HD02_S30,HD01_S31,HD02_S31,HD01_S32,HD02_S32,HD01_S33,HD02_S33,HD01_S34,HD02_S34,HD01_S35,HD02_S35,HD01_S36,HD02_S36,HD01_S37,HD02_S37
Id,Id2,Geography,Number; HOUSEHOLD TYPE - Total households,Percent; HOUSEHOLD TYPE - Total households,Number; HOUSEHOLD TYPE - Total households - Family households [1],Percent; HOUSEHOLD TYPE - Total households - Family households [1],Number; HOUSEHOLD TYPE - Total households - Family households [1] - Male householder,Percent; HOUSEHOLD TYPE - Total households - Family households [1] - Male householder,Number; HOUSEHOLD TYPE - Total households - Family households [1] - Female householder,Percent; HOUSEHOLD TYPE - Total households - Family households [1] - Female householder,Number; HOUSEHOLD TYPE - Total households - Nonfamily households [2],Percent; HOUSEHOLD TYPE - Total households - Nonfamily households [2],Number; HOUSEHOLD TYPE - Total households - Nonfamily households [2] - Male householder,Percent; HOUSEHOLD TYPE - Total households - Nonfamily households [2] - Male householder,Number; HOUSEHOLD TYPE - Total households - Nonfamily households [2] - Male householder - Living alone,Percent; HOUSEHOLD TYPE - Total households - Nonfamily households [2] - Male householder - Living alone,Number; HOUSEHOLD TYPE - Total households - Nonfamily households [2] - Female householder,Percent; HOUSEHOLD TYPE - Total households - Nonfamily households [2] - Female householder,Number; HOUSEHOLD TYPE - Total households - Nonfamily households [2] - Female householder - Living alone,Percent; HOUSEHOLD TYPE - Total households - Nonfamily households [2] - Female householder - Living alone,Number; HOUSEHOLD SIZE - Total households,Percent; HOUSEHOLD SIZE - Total households,Number; HOUSEHOLD SIZE - Total households - 1-person household,Percent; HOUSEHOLD SIZE - Total households - 1-person household,Number; HOUSEHOLD SIZE - Total households - 2-person household,Percent; HOUSEHOLD SIZE - Total households - 2-person household,Number; HOUSEHOLD SIZE - Total households - 3-person household,Percent; HOUSEHOLD SIZE - Total households - 3-person household,Number; HOUSEHOLD SIZE - Total households - 4-person household,Percent; HOUSEHOLD SIZE - Total households - 4-person household,Number; HOUSEHOLD SIZE - Total households - 5-person household,Percent; HOUSEHOLD SIZE - Total households - 5-person household,Number; HOUSEHOLD SIZE - Total households - 6-person household,Percent; HOUSEHOLD SIZE - Total households - 6-person household,Number; HOUSEHOLD SIZE - Total households - 7-or-more-person household,Percent; HOUSEHOLD SIZE - Total households - 7-or-more-person household,Number; HOUSEHOLD SIZE - Total households - Average household size,Percent; HOUSEHOLD SIZE - Total households - Average household size,Number; HOUSEHOLD SIZE - Total households - Average family size,Percent; HOUSEHOLD SIZE - Total households - Average family size,Number; FAMILY TYPE AND PRESENCE OF RELATED AND OWN CHILDREN - Families [3],Percent; FAMILY TYPE AND PRESENCE OF RELATED AND OWN CHILDREN - Families [3],Number; FAMILY TYPE AND PRESENCE OF RELATED AND OWN CHILDREN - Families [3] - With related children under 18 years,Percent; FAMILY TYPE AND PRESENCE OF RELATED AND OWN CHILDREN - Families [3] - With related children under 18 years,Number; FAMILY TYPE AND PRESENCE OF RELATED AND OWN CHILDREN - Families [3] - With related children under 18 years - With own children under 18 years,Percent; FAMILY TYPE AND PRESENCE OF RELATED AND OWN CHILDREN - Families [3] - With related children under 18 years - With own children under 18 years,Number; FAMILY TYPE AND PRESENCE OF RELATED AND OWN CHILDREN - Families [3] - With related children under 18 years - With own children under 18 years - Under 6 years only,Percent; FAMILY TYPE AND PRESENCE OF RELATED AND OWN CHILDREN - Families [3] - With related children under 18 years - With own children under 18 years - Under 6 years only,Number; FAMILY TYPE AND PRESENCE OF RELATED AND OWN CHILDREN - Families [3] - With related children under 18 years - With own children under 18 years - Under 6 and 6 to 17 years,Percent; FAMILY TYPE AND PRESENCE OF RELATED AND OWN CHILDREN - Families [3] - With related children under 18 years - With own children under 18 years - Under 6 and 6 to 17 years,Number; FAMILY TYPE AND PRESENCE OF RELATED AND OWN CHILDREN - Families [3] - With related children under 18 years - With own children under 18 years - 6 to 17 years only,Percent; FAMILY TYPE AND PRESENCE OF RELATED AND OWN CHILDREN - Families [3] - With related children under 18 years - With own children under 18 years - 6 to 17 years only,Number; FAMILY TYPE AND PRESENCE OF RELATED AND OWN CHILDREN - Husband-wife families,Percent; FAMILY TYPE AND PRESENCE OF RELATED AND OWN CHILDREN - Husband-wife families,Number; FAMILY TYPE AND PRESENCE OF RELATED AND OWN CHILDREN - Husband-wife families - With related children under 18 years,Percent; FAMILY TYPE AND PRESENCE OF RELATED AND OWN CHILDREN - Husband-wife families - With related children under 18 years,Number; FAMILY TYPE AND PRESENCE OF RELATED AND OWN CHILDREN - Husband-wife families - With related children under 18 years - With own children under 18 years,Percent; FAMILY TYPE AND PRESENCE OF RELATED AND OWN CHILDREN - Husband-wife families - With related children under 18 years - With own children under 18 years,Number; FAMILY TYPE AND PRESENCE OF RELATED AND OWN CHILDREN - Husband-wife families - With related children under 18 years - With own children under 18 years - Under 6 years only,Percent; FAMILY TYPE AND PRESENCE OF RELATED AND OWN CHILDREN - Husband-wife families - With related children under 18 years - With own children under 18 years - Under 6 years only,Number; FAMILY TYPE AND PRESENCE OF RELATED AND OWN CHILDREN - Husband-wife families - With related children under 18 years - With own children under 18 years - Under 6 and 6 to 17 years,Percent; FAMILY TYPE AND PRESENCE OF RELATED AND OWN CHILDREN - Husband-wife families - With related children under 18 years - With own children under 18 years - Under 6 and 6 to 17 years,Number; FAMILY TYPE AND PRESENCE OF RELATED AND OWN CHILDREN - Husband-wife families - With related children under 18 years - With own children under 18 years - 6 to 17 years only,Percent; FAMILY TYPE AND PRESENCE OF RELATED AND OWN CHILDREN - Husband-wife families - With related children under 18 years - With own children under 18 years - 6 to 17 years only,"Number; FAMILY TYPE AND PRESENCE OF RELATED AND OWN CHILDREN - Female householder, no husband present families","Percent; FAMILY TYPE AND PRESENCE OF RELATED AND OWN CHILDREN - Female householder, no husband present families","Number; FAMILY TYPE AND PRESENCE OF RELATED AND OWN CHILDREN - Female householder, no husband present families - With related children under 18 years","Percent; FAMILY TYPE AND PRESENCE OF RELATED AND OWN CHILDREN - Female householder, no husband present families - With related children under 18 years","Number; FAMILY TYPE AND PRESENCE OF RELATED AND OWN CHILDREN - Female householder, no husband present families - With related children under 18 years - With own children under 18 years","Percent; FAMILY TYPE AND PRESENCE OF RELATED AND OWN CHILDREN - Female householder, no husband present families - With related children under 18 years - With own children under 18 years","Number; FAMILY TYPE AND PRESENCE OF RELATED AND OWN CHILDREN - Female householder, no husband present families - With related children under 18 years - With own children under 18 years - Under 6 years only","Percent; FAMILY TYPE AND PRESENCE OF RELATED AND OWN CHILDREN - Female householder, no husband present families - With related children under 18 years - With own children under 18 years - Under 6 years only","Number; FAMILY TYPE AND PRESENCE OF RELATED AND OWN CHILDREN - Female householder, no husband present families - With related children under 18 years - With own children under 18 years - Under 6 and 6 to 17 years","Percent; FAMILY TYPE AND PRESENCE OF RELATED AND OWN CHILDREN - Female householder, no husband present families - With related children under 18 years - With own children under 18 years - Under 6 and 6 to 17 years","Number; FAMILY TYPE AND PRESENCE OF RELATED AND OWN CHILDREN - Female householder, no husband present families - With related children under 18 years - With own children under 18 years - 6 to 17 years only","Percent; FAMILY TYPE AND PRESENCE OF RELATED AND OWN CHILDREN - Female householder, no husband present families - With related children under 18 years - With own children under 18 years - 6 to 17 years only"
0500000US13001,13001,"Appling County, Georgia",6969,100.0,4894,70.2,3424,49.1,1470,21.1,2075,29.8,994,14.3,840,12.1,1081,15.5,992,14.2,6969,100.0,1832,26.3,2313,33.2,1175,16.9,927,13.3,431,6.2,177,2.5,114,1.6,2.56, ( X ) ,3.07, ( X ) ,4894,100.0,2393,48.9,2046,41.8,443,9.1,451,9.2,1152,23.5,3620,100.0,1551,42.8,1389,38.4,292,8.1,310,8.6,787,21.7,875,100.0,603,68.9,480,54.9,101,11.5,115,13.1,264,30.2
0500000US13003,13003,"Atkinson County, Georgia",2983,100.0,2159,72.4,1358,45.5,801,26.9,824,27.6,443,14.9,343,11.5,381,12.8,339,11.4,2983,100.0,682,22.9,849,28.5,576,19.3,445,14.9,262,8.8,93,3.1,76,2.5,2.80, ( X ) ,3.29, ( X ) ,2159,100.0,1206,55.9,1028,47.6,236,10.9,263,12.2,529,24.5,1500,100.0,768,51.2,686,45.7,149,9.9,183,12.2,354,23.6,455,100.0,319,70.1,257,56.5,67,14.7,62,13.6,128,28.1
0500000US13005,13005,"Bacon County, Georgia",4214,100.0,2960,70.2,1994,47.3,966,22.9,1254,29.8,618,14.7,509,12.1,636,15.1,576,13.7,4214,100.0,1085,25.7,1399,33.2,722,17.1,577,13.7,278,6.6,94,2.2,59,1.4,2.56, ( X ) ,3.05, ( X ) ,2960,100.0,1491,50.4,1270,42.9,290,9.8,280,9.5,700,23.6,2125,100.0,926,43.6,820,38.6,161,7.6,186,8.8,473,22.3,624,100.0,437,70.0,351,56.3,99,15.9,81,13.0,171,27.4
0500000US13007,13007,"Baker County, Georgia",1372,100.0,892,65.0,562,41.0,330,24.1,480,35.0,240,17.5,206,15.0,240,17.5,212,15.5,1372,100.0,418,30.5,419,30.5,219,16.0,157,11.4,103,7.5,33,2.4,23,1.7,2.52, ( X ) ,3.14, ( X ) ,892,100.0,403,45.2,306,34.3,61,6.8,60,6.7,185,20.7,606,100.0,243,40.1,204,33.7,41,6.8,38,6.3,125,20.6,218,100.0,131,60.1,86,39.4,17,7.8,21,9.6,48,22.0
0500000US13009,13009,"Baldwin County, Georgia",16788,100.0,10373,61.8,5793,34.5,4580,27.3,6415,38.2,2891,17.2,1999,11.9,3524,21.0,2524,15.0,16788,100.0,4523,26.9,5720,34.1,3127,18.6,2089,12.4,821,4.9,334,2.0,174,1.0,2.45, ( X ) ,2.97, ( X ) ,10373,100.0,5038,48.6,4294,41.4,1020,9.8,938,9.0,2336,22.5,6384,100.0,2469,38.7,2205,34.5,519,8.1,473,7.4,1213,19.0,3217,100.0,2142,66.6,1754,54.5,402,12.5,415,12.9,937,29.1
0500000US13011,13011,"Banks County, Georgia",6700,100.0,5100,76.1,3789,56.6,1311,19.6,1600,23.9,862,12.9,692,10.3,738,11.0,662,9.9,6700,100.0,1354,20.2,2294,34.2,1206,18.0,993,14.8,536,8.0,179,2.7,138,2.1,2.75, ( X ) ,3.14, ( X ) ,5100,100.0,2432,47.7,2099,41.2,370,7.3,441,8.6,1288,25.3,4060,100.0,1799,44.3,1608,39.6,294,7.2,348,8.6,966,23.8,684,100.0,407,59.5,297,43.4,39,5.7,58,8.5,200,29.2
0500000US13013,13013,"Barrow County, Georgia",23971,100.0,18214,76.0,12610,52.6,5604,23.4,5757,24.0,2793,11.7,2034,8.5,2964,12.4,2471,10.3,23971,100.0,4505,18.8,7393,30.8,4588,19.1,3975,16.6,2067,8.6,847,3.5,596,2.5,2.88, ( X ) ,3.28, ( X ) ,18214,100.0,10096,55.4,9026,49.6,2183,12.0,2098,11.5,4745,26.1,13658,100.0,7128,52.2,6600,48.3,1708,12.5,1672,12.2,3220,23.6,3203,100.0,2119,66.2,1720,53.7,281,8.8,317,9.9,1122,35.0
0500000US13015,13015,"Bartow County, Georgia",35782,100.0,26529,74.1,18383,51.4,8146,22.8,9253,25.9,4552,12.7,3488,9.7,4701,13.1,4010,11.2,35782,100.0,7498,21.0,11382,31.8,6500,18.2,5774,16.1,2742,7.7,1141,3.2,745,2.1,2.77, ( X ) ,3.20, ( X ) ,26529,100.0,14036,52.9,12287,46.3,2522,9.5,2504,9.4,7261,27.4,19626,100.0,9546,48.6,8680,44.2,1737,8.9,1908,9.7,5035,25.7,4818,100.0,3214,66.7,2556,53.1,503,10.4,455,9.4,1598,33.2
0500000US13017,13017,"Ben Hill County, Georgia",6794,100.0,4730,69.6,2782,40.9,1948,28.7,2064,30.4,957,14.1,809,11.9,1107,16.3,1007,14.8,6794,100.0,1816,26.7,2186,32.2,1201,17.7,900,13.2,415,6.1,166,2.4,110,1.6,2.55, ( X ) ,3.07, ( X ) ,4730,100.0,2448,51.8,2039,43.1,527,11.1,397,8.4,1115,23.6,3063,100.0,1301,42.5,1145,37.4,277,9.0,225,7.3,643,21.0,1299,100.0,925,71.2,716,55.1,202,15.6,140,10.8,374,28.8
0500000US13019,13019,"Berrien County, Georgia",7443,100.0,5254,70.6,3436,46.2,1818,24.4,2189,29.4,1086,14.6,874,11.7,1103,14.8,1004,13.5,7443,100.0,1878,25.2,2491,33.5,1251,16.8,1065,14.3,494,6.6,158,2.1,106,1.4,2.57, ( X ) ,3.05, ( X ) ,5254,100.0,2597,49.4,2264,43.1,513,9.8,437,8.3,1314,25.0,3835,100.0,1675,43.7,1504,39.2,337,8.8,319,8.3,848,22.1,1014,100.0,694,68.4,568,56.0,126,12.4,94,9.3,348,34.3
0500000US13021,13021,"Bibb County, Georgia",60295,100.0,38714,64.2,20525,34.0,18189,30.2,21581,35.8,9319,15.5,7502,12.4,12262,20.3,10742,17.8,60295,100.0,18244,30.3,18838,31.2,9937,16.5,7253,12.0,3429,5.7,1515,2.5,1079,1.8,2.48, ( X ) ,3.10, ( X ) ,38714,100.0,20124,52.0,17363,44.8,4026,10.4,3745,9.7,9592,24.8,22613,100.0,9553,42.2,8613,38.1,1926,8.5,1866,8.3,4821,21.3,13269,100.0,9086,68.5,7559,57.0,1730,13.0,1722,13.0,4107,31.0
0500000US13023,13023,"Bleckley County, Georgia",4660,100.0,3248,69.7,2121,45.5,1127,24.2,1412,30.3,632,13.6,522,11.2,780,16.7,712,15.3,4660,100.0,1234,26.5,1635,35.1,748,16.1,612,13.1,280,6.0,98,2.1,53,1.1,2.49, ( X ) ,2.99, ( X ) ,3248,100.0,1533,47.2,1345,41.4,273,8.4,283,8.7,789,24.3,2318,100.0,937,40.4,857,37.0,154,6.6,185,8.0,518,22.3,723,100.0,488,67.5,398,55.0,100,13.8,85,11.8,213,29.5
