"","CICOID","FIPS","CICO","NAMEGOV","GOVOFNAME_UL","RESIDENTCO","REGION","COSEAT","Fiscal_Yr","GOVERNMENT","FISCAL YR","Mos_Rprted","FYE_Mo","POP","Pop_Group","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V203","V204","V205","V213","V217","V219","V220","V221","V223","V224","V225","V227","V228","V229","V231","V232","V233","V235","V236","V237","V239","V240","V241","V243","V244","V245","V249","V251","V252","V253","V255","V256","V260","V261","V301","V302","V303","V304","V305","V306","V307","V308","V309","V310","V311","V312","V312A","V313","V314","V315","V316","V317","V318","V319","V350","V351","V352","V353","V354","V355","V356","V357","V358","V359","V360","V361","V362","V363","V364","V365","V366","V367"
"1","1001001","13001","1","Appling County","County of Appling","Appling County","09",0,"2014","County of Appling","2014",12,"September 30",18540,"D",3487094,97600,5621161,772669,79295,41802,0,72917,10172538,2065291,0,3833711,5899002,12,619721,57240,0,0,676973,38702,0,0,6570,45272,16793785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,750,0,2450,0,0,0,0,0,10059,0,547233,185410,0,547983,185410,12509,0,0,0,101343,0,0,1236,0,0,377720,377264,0,37196,656832,0,42880,70482,0,123829,0,211142,1142361,0,0,0,0,0,0,0,0,0,0,0,0,126587,540,127127,0,0,0
"2","1002002","13003","1","Atkinson County","County of Atkinson","Atkinson County","11",0,"2014","County of Atkinson","2014",12,"June 30",8223,"F",2006953,94686,117569,252649,58736,3528,5594,68446,2608161,297746,0,394084,691830,9475,226033,0,0,0,235508,4670,0,9235,0,13905,3549404,0,0,0,0,555429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72261,0,0,23858,0,0,0,55852,0,134520,707400,0,134520,0,0,0,0,0,0,0,0,0,0,10003,10003,17013,202188,0,91947,26880,0,15948,0,19160,373136,0,0,0,0,0,0,0,0,0,0,0,0,2124568,26098,2150666,0,0,0
"3","1003003","13005","1","Bacon County","County of Bacon","Bacon County","11",0,"2014","County of Bacon","2014",12,"June 30",11281,"E",212791,56913,0,268266,38254,13693,0,30738,620655,391462,0,631447,1022909,20930,0,0,0,0,20930,17718,5825,0,6635,30178,1694672,0,0,0,0,190944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2802,0,48149,0,193746,48149,0,0,0,0,0,0,0,253535,0,4259,0,105421,363215,19,104625,0,0,0,42260,47369,0,138441,332714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181263,120882,302145
"4","1004004","13007","1","Baker County","County of Baker","Baker County","10",0,"2014","County of Baker","2014",12,"April 30",3255,"F",1148509,22874,0,153030,20448,6403,0,61612,1412876,216527,0,198743,415270,0,129898,0,0,0,129898,6807,0,0,5801,12608,1970652,0,0,0,0,196664,0,0,0,0,0,0,0,0,0,0,0,1610,0,0,0,0,0,5817,0,0,2714,354507,7998,0,561312,7998,0,0,0,0,0,35437,0,193943,0,0,0,38531,0,636,125661,0,20565,11,0,7110,0,44624,198607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","1005005","13009","1","Baldwin County","County of Baldwin","Baldwin County","06",0,"2014","County of Baldwin","2014",12,"December 31",45909,"C",9172510,300127,0,1389257,92561,119598,10501,499284,11583838,3893557,0,6316369,10209926,266626,1341395,0,169404,0,1777425,103361,32250,66929,1399,203939,23775128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","1006006","13011","1","Banks County","County of Banks","Banks County","02",0,"2014","County of Banks","2014",12,"June 30",18295,"D",4369783,244827,0,899991,79825,68071,3756,194839,5861092,2446281,0,2927911,5374192,149670,691288,414690,4246,0,1259894,47447,45140,67286,0,159873,12655051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66807,393617,0,0,665916,0,0,0,1126340,21005,466313,0,23174,0,0,0,0,0,510492,1730424,0,1730424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","1007007","13013","1","Barrow County","County of Barrow","Barrow County","05",0,"2014","County of Barrow","2014",12,"September 30",73240,"B",14871224,203442,753599,3126701,92033,335523,10128,824685,20217335,5579163,0,8996225,14575388,307459,2054636,0,315352,96057,2773504,262879,117125,609050,0,989054,38555281,168435,0,0,0,525687,0,150000,0,0,209359,0,0,0,0,0,0,0,0,44464,0,0,0,23236,0,137681,124346,130944,88619,230842,804213,257054,772346,0,0,0,260472,1221157,0,0,926049,549932,0,2808228,5765838,44278,1598210,0,0,0,0,0,0,262553,1905041,4705846,45749,4751595,0,0,0,0,0,0,343789,12773,356562,0,0,0,367545,0,367545
"8","1008008","13015","1","Bartow County","County of Bartow","Bartow County","01",0,"2014","County of Bartow","2014",12,"December 31",101736,"A",24877948,217976,3433935,3884415,115063,474859,23993,1500969,34529158,14099737,0,20712500,34812237,456416,3362825,596174,598340,792161,5805916,404552,56000,343464,3250,807266,75954577,0,40675,0,0,2986687,0,0,0,0,0,0,0,0,0,0,0,100139,0,109424,0,0,305680,0,0,0,157056,721161,1918336,526554,3965043,1918336,982333,0,0,0,413002,3253797,0,0,0,0,241276,3372655,7280730,161813,3242751,0,0,233686,0,168324,0,912681,4719255,13577052,164256,13741308,0,0,0,0,0,0,0,0,0,2957586,0,2957586,0,0,0
"9","1009009","13017","1","Ben Hill County","County of Ben Hill","Ben Hill County","11",0,"2014","County of Ben Hill","2014",12,"December 31",17464,"D",4568860,100551,0,682450,76855,42224,13768,533896,6018604,1063761,0,2127527,3191288,47767,419636,0,33293,0,500696,85469,8600,17020,0,111089,9821677,0,0,0,0,302088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2210,0,0,0,0,0,14424,256502,0,0,575224,0,0,0,0,0,0,930074,0,43237,0,0,0,483849,1457160,3222,440265,0,69924,343750,0,4475,0,3010,864646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","1010010","13019","1","Berrien County","County of Berrien","Berrien County","11",0,"2014","County of Berrien","2014",12,"June 30",18700,"D",5010937,128677,0,895530,92852,89930,6565,205045,6429536,770467,0,1354757,2125224,34242,525304,0,3791,5744,569081,28893,5750,0,34539,69182,9193023,0,0,0,0,1234045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,443602,0,0,0,0,0,17112,1416546,0,0,3111305,0,0,0,0,0,189341,746975,0,0,0,0,0,571319,0,1776,490236,0,82025,7316,0,14019,0,49715,645087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
