"","Loc.Gov","SD","year.sd","n"
"1","Abbeville City","Abbeville Housing Authority","2011",1
"2","Abbeville City","Abbeville Housing Authority","2012",1
"3","Abbeville City","Abbeville Housing Authority","2013",1
"4","Abbeville City","Wilcox County Industrial Development Authority","2012",1
"5","Abbeville City","Wilcox County Industrial Development Authority","2013",1
"6","Abbeville City","Wilcox County Industrial Development Authority","2014",1
"7","Adairsville City","Coosawattee Regional Water and Sewerage Authority","2011",1
"8","Adairsville City","Coosawattee Regional Water and Sewerage Authority","2012",1
"9","Adairsville City","Coosawattee Regional Water and Sewerage Authority","2013",1
"10","Adairsville City","Coosawattee Regional Water and Sewerage Authority","2014",1
"11","Adairsville City","Development Authority of LaFayette","2011",1
"12","Adairsville City","Development Authority of LaFayette","2012",1
"13","Adairsville City","Development Authority of LaFayette","2013",1
"14","Adel City","Ben Hill-Irwin Area Joint Development Authority","2011",1
"15","Adel City","Ben Hill-Irwin Area Joint Development Authority","2012",1
"16","Adel City","Byron Convention & Visitors Bureau","2013",1
"17","Adel City","Byron Convention & Visitors Bureau","2014",1
"18","Adel City","Byron  Development Authority","2011",1
"19","Adel City","Byron  Development Authority","2012",1
"20","Adel City","Byron  Development Authority","2013",1
"21","Adel City","Byron  Development Authority","2014",1
"22","Adel City","Byron Downtown Development Authority","2013",1
"23","Adel City","Byron Downtown Development Authority","2014",1
"24","Adel City","City of Homerville Water and Sewer Authority","2011",1
"25","Adel City","City of Homerville Water and Sewer Authority","2012",1
"26","Adel City","City of Homerville Water and Sewer Authority","2013",1
"27","Adel City","Downtown Development Authority of the City of LaFayette","2013",1
"28","Adel City","Housing Authority of the County of Atkinson, Georgia","2011",1
"29","Adel City","Housing Authority of the County of Atkinson, Georgia","2012",1
"30","Adel City","Housing Authority of the County of Atkinson, Georgia","2013",1
"31","Adel City","Housing Authority of the County of Atkinson, Georgia","2014",1
"32","Adel City","Savannah Economic Development Authority","2011",1
"33","Adel City","Tift-Turner-Worth-Cook Joint Development Authority","2012",1
"34","Adel City","Tift-Turner-Worth-Cook Joint Development Authority","2013",1
"35","Adrian City","Calhoun Downtown Development Authority","2011",1
"36","Adrian City","Calhoun Downtown Development Authority","2012",1
"37","Adrian City","Calhoun Downtown Development Authority","2013",1
"38","Adrian City","Calhoun Downtown Development Authority","2014",1
"39","Adrian City","Development Authority of Emanuel County and the City of Swainsboro","2011",1
"40","Adrian City","Development Authority of Emanuel County and the City of Swainsboro","2012",1
"41","Adrian City","Development Authority of Emanuel County and the City of Swainsboro","2013",1
"42","Adrian City","Development Authority of Emanuel County and the City of Swainsboro","2014",1
"43","Adrian City","Emanuel County Development Authority","2011",1
"44","Adrian City","Emanuel County Development Authority","2012",1
"45","Adrian City","Emanuel County Development Authority","2013",1
"46","Adrian City","Emanuel County Development Authority","2014",1
"47","Ailey City","Housing Authority of the City of Mt. Vernon","2011",1
"48","Ailey City","Housing Authority of the City of Mt. Vernon","2014",1
"49","Ailey City","The Housing Authority of the City of Mount Vernon, Georgia","2013",1
"50","Alamo City","City of Willacoochee Development Authority","2011",1
"51","Alamo City","City of Willacoochee Development Authority","2012",1
"52","Alamo City","City of Willacoochee Development Authority","2013",1
"53","Alamo City","City of Willacoochee Development Authority","2014",1
"54","Alamo City","Hospital Authority of Union County","2012",1
"55","Alamo City","Hospital Authority of Union County","2013",1
"56","Alamo City","Hospital Authority of Union County","2014",1
"57","Alamo City","Housing Authority of the City of Alamo","2012",1
"58","Alamo City","Jackson Housing Authority","2011",1
"59","Alamo City","Jackson Housing Authority","2012",1
"60","Alamo City","Jackson Housing Authority","2013",1
"61","Alamo City","Jackson Housing Authority","2014",1
"62","Alapaha City","Pike County Water and Sewerage Authority","2011",1
"63","Alapaha City","Pike County Water and Sewerage Authority","2012",1
"64","Alapaha City","Pike County Water and Sewerage Authority","2013",1
"65","Alapaha City","Pike County Water and Sewerage Authority","2014",1
"66","Albany City","Albany Dougherty Payroll Development Authority","2011",1
"67","Albany City","Albany Dougherty Payroll Development Authority","2012",1
"68","Albany City","Albany Dougherty Payroll Development Authority","2013",1
"69","Albany City","Albany Dougherty Payroll Development Authority","2014",1
"70","Albany City","Chehaw Park Authority","2011",1
"71","Albany City","Chehaw Park Authority","2012",1
"72","Albany City","Chehaw Park Authority","2013",1
"73","Albany City","Chehaw Park Authority","2014",1
"74","Albany City","Downtown Development Authority of Demorest, GA","2011",1
"75","Albany City","Downtown Development Authority of Demorest, GA","2012",1
"76","Aldora City","Barnesville Housing Authority","2011",1
"77","Aldora City","Barnesville Housing Authority","2012",1
"78","Aldora City","Barnesville Housing Authority","2013",1
"79","Aldora City","Barnesville Housing Authority","2014",1
"80","Allenhurst City","Okefenokee Area Development Authority","2011",1
"81","Allenhurst City","Okefenokee Area Development Authority","2012",1
"82","Allenhurst City","Okefenokee Area Development Authority","2013",1
"83","Alma City","Alma Downtown Development Authority","2011",1
"84","Alma City","Alma Downtown Development Authority","2013",1
"85","Alma City","Alma Downtown Development Authority","2014",1
"86","Alma City","Bacon County Development Authority","2011",1
"87","Alma City","Bacon Industrial Building Authority","2012",2
"88","Alma City","Bacon Industrial Building Authority","2013",2
"89","Alma City","Southeast Georgia Regional Development Authority","2011",1
"90","Alma City","Southeast Georgia Regional Development Authority","2012",1
"91","Alma City","Southeast Georgia Regional Development Authority","2013",1
"92","Alma City","Southeast Georgia Regional Development Authority","2014",1
"93","Alpharetta City","Development Authority of Alpharetta","2011",1
"94","Alston City","Housing Authority of the City of Mt. Vernon","2011",1
"95","Alston City","Housing Authority of the City of Mt. Vernon","2014",1
"96","Alston City","The Housing Authority of the City of Mount Vernon, Georgia","2013",1
"97","Americus City","Downtown Development Authority of the Mayor and City Council of Americus","2011",1
"98","Americus City","Downtown Development Authority of the Mayor and City Council of Americus","2012",1
"99","Americus City","Downtown Development Authority of the Mayor and City Council of Americus","2013",1
"100","Americus City","Downtown Development Authority of the Mayor and City Council of Americus","2014",1
"101","Americus City","Middle Flint Regional E-911 Authority","2012",1
"102","Americus City","Middle Flint Regional E-911 Authority","2013",1
"103","Americus City","Middle Flint Regional E-911 Authority","2014",1
"104","Americus City","Sumter County Industrial Development Authority","2011",3
"105","Americus City","Sumter County Industrial Development Authority","2012",3
"106","Americus City","Sumter County Industrial Development Authority","2013",3
